,name,apple_name,apple_rating_count,apple_rating,google_name,google_rating,google_rating_count
383,Star Wars™,Star Wars™: Galaxy of Heroes,122260,4.5,Star Wars™: Force Arena,4.4,228130
384,Star Wars™,Star Wars™: Galaxy of Heroes,122260,4.5,Star Wars™: Galaxy of Heroes,4.5,1461698
385,Candy Crush Soda Saga,Candy Crush Soda Saga,133394,4.5,Candy Crush Soda Saga,4.4,6199095
386,Red Ball 4,Red Ball 4,9818,4.5,Red Ball 4,4.4,1432447
387,Summoners War,Summoners War,137122,4.5,Summoners War,4.3,2045554
388,Peggle Blast,Peggle Blast,11528,4.0,Peggle Blast,4.1,166251
389,YouCam Makeup,YouCam Makeup: Magic Makeup Selfie Cam,14188,4.5,YouCam Makeup - Magic Selfie Makeovers,4.6,3337952
390,SONIC Drive-In,SONIC Drive-In,1645,4.0,SONIC Drive-In,4.3,19373
391,Best Fiends,Best Fiends,37584,4.5,Best Fiends - Free Puzzle Game,4.6,1480182
392,Bitmoji,Bitmoji - Your Personal Emoji,37972,4.5,Bitmoji – Your Personal Emoji,4.6,2312084
393,Toca Life,Toca Life: Town,3174,4.5,Toca Life: Hospital,4.7,3528
394,Toca Life,Toca Life: Town,3174,4.5,Toca Life: City,4.7,31100
395,Toca Life,Toca Life: City,3571,4.5,Toca Life: Hospital,4.7,3528
396,Toca Life,Toca Life: City,3571,4.5,Toca Life: City,4.7,31100
397,Toca Life,Toca Life: School,1744,4.5,Toca Life: Hospital,4.7,3528
398,Toca Life,Toca Life: School,1744,4.5,Toca Life: City,4.7,31100
399,Toca Life,Toca Life: Vacation,1730,4.5,Toca Life: Hospital,4.7,3528
400,Toca Life,Toca Life: Vacation,1730,4.5,Toca Life: City,4.7,31100
401,Toca Life,Toca Life: Stable,732,4.5,Toca Life: Hospital,4.7,3528
402,Toca Life,Toca Life: Stable,732,4.5,Toca Life: City,4.7,31100
403,Toca Life,Toca Life: Farm,643,4.5,Toca Life: Hospital,4.7,3528
404,Toca Life,Toca Life: Farm,643,4.5,Toca Life: City,4.7,31100
405,Elevate,Elevate - Brain Training and Games,58092,5.0,Elevate - Brain Training Games,4.5,248912
406,Google Slides,Google Slides,9920,4.0,Google Slides,4.2,244567
407,Angry Birds 2,Angry Birds 2,109104,4.0,Angry Birds 2,4.6,3881752
408,Assassin's Creed Identity,Assassin's Creed Identity,3517,4.0,Assassin's Creed Identity,3.7,42529
409,Candy Camera,Candy Camera,397,4.0,"Candy Camera - selfie, beauty camera, photo editor",4.4,3368705
410,XCOM®,XCOM®: Enemy Within,2855,4.0,XCOM®: Enemy Within,4.2,13752
411,My Emma ,My Emma :),8412,4.5,My Emma :),4.1,245839
412,Need for Speed™ No Limits,Need for Speed™ No Limits,34998,4.5,Need for Speed™ No Limits,4.4,3344300
413,AT&T Mobile Transfer,AT&T Mobile Transfer - Free,3024,4.5,AT&T Mobile Transfer,4.6,22775
414,Dungeon Hunter 5,Dungeon Hunter 5 - Multiplayer RPG on iOS,22513,4.5,Dungeon Hunter 5 – Action RPG,4.2,720685
415,Tubi TV,Tubi TV - Watch Free Movies & TV Shows,2368,4.0,Tubi TV - Free Movies & TV,4.3,296771
416,Jurassic Life,Jurassic Life: Tyrannosaurus Rex Dinosaur Simulator,842,4.5,Jurassic Life: T Rex Simulator,4.2,1088
417,Jurassic Life,Jurassic Life: Velociraptor Dinosaur Simulator,450,4.5,Jurassic Life: T Rex Simulator,4.2,1088
418,Toy Blast,Toy Blast,75822,4.5,Toy Blast,4.7,1889582
419,Earn to Die 2,Earn to Die 2,3072,4.5,Earn to Die 2,4.6,1327269
420,Solitaire TriPeaks,Solitaire TriPeaks: Classic Card Game,32215,4.5,Solitaire TriPeaks,4.5,446434
421,MARVEL Contest of Champions,MARVEL Contest of Champions,233599,4.5,MARVEL Contest of Champions,4.3,2468915
422,Mercari,Mercari: Shopping Marketplace to Buy & Sell Stuff,24244,4.0,Mercari: The Selling App,4.4,101883
423,Canva,Canva - Graphic Design & Photo Editing,9114,4.5,"Canva: Poster, banner, card maker & graphic design",4.7,174531
424,Dr. Panda & Toto's Treehouse,Dr. Panda & Toto's Treehouse,455,4.5,Dr. Panda & Toto's Treehouse,4.4,3397
425,Hopper,"Hopper - Predict, Watch & Book Flights",6944,4.5,Hopper - Watch & Book Flights,4.4,52028
426,B612,"B612 - Trendy Filters, Selfiegenic Camera",2275,4.5,B612 - Beauty & Filter Camera,4.4,5276983
427,Hitman Sniper,Hitman Sniper,8452,4.5,Hitman Sniper,4.6,408292
428,Google Street View,Google Street View,1450,4.0,Google Street View,4.2,2129707
429,aa,aa,158845,4.5,aa,4.2,886418
430,Google Calendar,Google Calendar – Make the most of every day,7656,4.0,Google Calendar,4.2,858230
431,My Talking Angela,My Talking Angela,54549,4.5,My Talking Angela,4.5,9876369
432,Nick Jr.,Nick Jr.,1541,3.5,Nick Jr. - Shows & Games,4.2,8968
433,Adobe Illustrator Draw,Adobe Illustrator Draw,3215,4.5,Adobe Illustrator Draw,4.4,65766
434,DRAGON QUEST,DRAGON QUEST,419,4.5,DRAGON QUEST,4.2,9659
435,Tiny Archers,Tiny Archers,568,4.0,Tiny Archers,4.5,80678
436,Five Nights at Freddy's,Five Nights at Freddy's,27388,4.5,Five Nights at Freddy's,4.6,100805
437,Five Nights at Freddy's,Five Nights at Freddy's,27388,4.5,Five Nights at Freddy's: SL,4.5,16162
438,SimCity BuildIt,SimCity BuildIt,198338,4.5,SimCity BuildIt,4.5,4218587
439,My Movies Pro,My Movies Pro - Movie & TV Collection Library,1309,4.5,My Movies Pro - Movie & TV Collection Library,4.6,6477
440,Inside Out Thought Bubbles,Inside Out Thought Bubbles,21881,4.5,Inside Out Thought Bubbles,4.4,623398
441,Dubsmash,Dubsmash,20243,4.5,Dubsmash,4.2,1971777
442,Cartoon Wars 3,Cartoon Wars 3,979,4.0,Cartoon Wars 3,4.1,137674
443,McDonald's,McDonald's,4050,2.0,McDonald's - McDonald's Japan,3.4,109784
444,McDonald's,McDonald's,4050,2.0,McDonald's,3.6,145646
445,Oddworld,Oddworld: Stranger's Wrath,713,4.5,Oddworld: New 'n' Tasty,4.6,1475
446,Oddworld,Oddworld: Munch's Oddysee,200,4.5,Oddworld: New 'n' Tasty,4.6,1475
447,Crossy Road,Crossy Road - Endless Arcade Hopper,669079,4.5,Crossy Road,4.5,4229977
448,Google Classroom,Google Classroom,5942,4.0,Google Classroom,4.2,69498
449,Dumb Ways to Die 2,Dumb Ways to Die 2: The Games,11295,4.0,Dumb Ways to Die 2: The Games,4.2,1671658
450,PES CLUB MANAGER,PES CLUB MANAGER,3216,4.5,PES CLUB MANAGER,4.4,783025
451,DC Legends,DC Legends,16460,4.5,DC Legends: Battle for Justice,4.5,355613
452,Adventure Time Game Wizard,Adventure Time Game Wizard - Draw Your Own Adventure Time Games,848,4.0,Adventure Time Game Wizard,4.1,4107
453,Mobile Strike,Mobile Strike,24935,3.5,Mobile Strike,3.9,903392
454,YouTube Kids,YouTube Kids,28560,4.5,YouTube Kids,4.5,469851
455,Bike Unchained,Bike Unchained,629,4.0,Bike Unchained,4.3,83545
456,Five Nights at Freddy's 2,Five Nights at Freddy's 2,18107,4.5,Five Nights at Freddy's 2,4.6,73919
457,Attack the Light,Attack the Light - Steven Universe Light RPG,10132,5.0,Attack the Light,4.7,19209
458,Dude Perfect 2,Dude Perfect 2,28361,4.5,Dude Perfect 2,4.5,401648
459,Toca Kitchen 2,Toca Kitchen 2,1858,4.5,Toca Kitchen 2,4.5,1013465
460,MORTAL KOMBAT X,MORTAL KOMBAT X,114475,4.5,MORTAL KOMBAT X,4.4,3039889
461,Gear.Club,Gear.Club - True Racing,2793,4.5,Gear.Club - True Racing,4.4,140658
462,Deck Heroes,Deck Heroes: Legacy,494,4.0,Deck Heroes: Legacy,4.7,466495
463,Alto's Adventure,Alto's Adventure,7824,4.5,Alto's Adventure,4.6,515240
464,DRAGON BALL Z DOKKAN BATTLE,DRAGON BALL Z DOKKAN BATTLE,5362,4.0,DRAGON BALL Z DOKKAN BATTLE,4.1,650114
465,Microsoft Outlook,Microsoft Outlook - email and calendar,32807,3.5,Microsoft Outlook,4.3,3249518
466,MARVEL Future Fight,MARVEL Future Fight,20906,4.5,MARVEL Future Fight,4.6,2354042
467,Storm Radar,Storm Radar,22792,4.5,Storm Radar: Tornado Tracker & Hurricane Alerts,4.6,89868
468,Tsuro,Tsuro - The Game of the Path,539,4.5,Tsuro - The Game of the Path,4.7,2195
469,Google Photos,Google Photos - unlimited photo and video storage,88742,5.0,Google Photos,4.5,10847682
470,Dragon Hills,Dragon Hills,5508,4.5,Dragon Hills,4.5,354373
471,OK K.O.! Lakewood Plaza Turbo,OK K.O.! Lakewood Plaza Turbo,430,4.5,OK K.O.! Lakewood Plaza Turbo,4.5,76608
472,Vikings,Vikings: War of Clans,7969,4.5,Vikings: an Archer's Journey,4.5,10256
473,Hello Kitty Lunchbox,Hello Kitty Lunchbox – Food Maker,694,4.5,Hello Kitty Lunchbox,4.2,51838
474,Asphalt Xtreme,Asphalt Xtreme: Offroad Rally Racing,3960,4.0,Asphalt Xtreme: Rally Racing,4.5,567984
475,HBO NOW,"HBO NOW: Stream original series, hit movies & more",7477,2.5,HBO NOW: Stream TV & Movies,3.9,61230
476,Does not Commute,Does not Commute,5645,4.0,Does not Commute,4.0,154108
477,Periscope,Periscope - Live Video Streaming Around the World,6062,3.5,Periscope - Live Video,4.0,479939
478,MakeupPlus,"MakeupPlus - Natural, Professional Makeup Looks",3987,4.5,MakeupPlus - Your Own Virtual Makeup Artist,4.4,758780
479,Blossom Blast Saga,Blossom Blast Saga - Fun Flower Match & Grow Game,29475,4.5,Blossom Blast Saga,4.5,1125438
480,Five Nights at Freddy's 3,Five Nights at Freddy's 3,9876,4.5,Five Nights at Freddy's 3,4.7,27856
481,Bejeweled Stars,Bejeweled Stars,7486,4.0,Bejeweled Stars: Free Match 3,4.5,85484
482,Kill Shot Bravo,Kill Shot Bravo,22444,4.5,Kill Shot Bravo: Sniper FPS,4.4,579519
483,Block Craft 3D,Block Craft 3D: Building Simulator Game For Free,78412,4.5,Block Craft 3D: Building Simulator Games For Free,4.5,944661
484,Order & Chaos 2,Order & Chaos 2: 3D MMO RPG Online Game,6325,4.0,Order & Chaos 2: 3D MMO RPG,4.1,242722
485,Discord,Discord - Chat for Gamers,9152,4.5,Discord - Chat for Gamers,4.5,305347
486,letgo,letgo: Buy & Sell Second Hand Stuff,38424,4.5,"letgo: Buy & Sell Used Stuff, Cars & Real Estate",4.5,972256
487,Fallout Shelter,Fallout Shelter,199396,4.5,Fallout Shelter,4.6,2721923
488,Farming Simulator 16,Farming Simulator 16,2637,4.5,Farming Simulator 16,4.2,32812
489,"Egg, Inc.","Egg, Inc.",79074,5.0,"Egg, Inc.",4.7,580160
490,Free Fur All,Free Fur All – We Bare Bears Minigame Collection,1449,4.5,Free Fur All – We Bare Bears,4.2,256916
491,U by BB&T,U by BB&T,790,2.0,U by BB&T,4.3,16600
492,Agar.io,Agar.io,176514,4.5,Agar.io,4.2,3815614
493,SHOWTIME,SHOWTIME,1214,2.5,SHOWTIME,4.2,12398
494,Plants vs. Zombies™ Heroes,Plants vs. Zombies™ Heroes,16305,4.5,Plants vs. Zombies™ Heroes,4.4,379245
495,"Please, Don't Touch Anything","Please, Don't Touch Anything",379,4.0,"Please, Don't Touch Anything",4.4,1771
496,Animal Jam,Animal Jam - Play Wild!,26990,4.5,Animal Jam - Play Wild!,4.6,361734
497,Army of Heroes,Army of Heroes,1235,4.5,Army of Heroes,4.5,85015
498,Bullet Force,Bullet Force,9289,4.5,Bullet Force,4.5,634159
499,Colorfy,Colorfy: Coloring Book for Adults,247809,4.5,Colorfy: Coloring Book for Adults - Free,4.5,787107
500,Design Home,Design Home,23298,4.5,Design Home,4.4,539931
501,Don't Starve,Don't Starve: Pocket Edition,3742,4.0,Don't Starve: Pocket Edition,4.4,17988
502,Don't Starve,Don't Starve: Pocket Edition,3742,4.0,Don't Starve: Shipwrecked,4.1,1468
503,Don't Starve,Don't Starve: Shipwrecked,495,3.5,Don't Starve: Pocket Edition,4.4,17988
504,Don't Starve,Don't Starve: Shipwrecked,495,3.5,Don't Starve: Shipwrecked,4.1,1468
505,ipsy,"ipsy - Makeup, subscription and beauty tips",17489,5.0,"ipsy: Makeup, Beauty, and Tips",4.9,49790
506,V LIVE,V LIVE - Broadcasting App,937,3.5,V LIVE - Star Live App,4.4,397147
507,Smashy Road,Smashy Road: Wanted,53162,4.5,Smashy Road: Arena,4.3,45558
508,Smashy Road,Smashy Road: Arena,3207,4.5,Smashy Road: Arena,4.3,45558
509,Deus Ex GO,Deus Ex GO - Puzzle Challenge,1385,4.5,Deus Ex GO,4.5,9699
510,SNOW,"SNOW - Selfie, Motion sticker, Fun camera",1115,4.0,SNOW - AR Camera,4.3,1017237
511,AMC,AMC,3105,2.0,AMC,3.2,20843
512,Teeny Titans,Teeny Titans - Teen Titans Go! Figure Battles,2503,4.5,Teeny Titans - Teen Titans Go!,4.6,20463
513,Rolling Sky,Rolling Sky,30670,4.5,Rolling Sky,4.5,1117212
514,Talking Tom Bubble Shooter,Talking Tom Bubble Shooter,2659,4.5,Talking Tom Bubble Shooter,4.4,687136
515,Shopkins World!,Shopkins World!,3047,4.0,Shopkins World!,4.3,169609
516,Last Empire,Last Empire – War Z: Zombie Strategy Game,3323,4.0,Last Empire - War Z: Strategy,4.2,853495
517,Boomerang from Instagram,Boomerang from Instagram,2373,3.5,Boomerang from Instagram,4.4,928720
518,Vlogger Go Viral,Vlogger Go Viral - Clicker Game & Vlog Simulator,21977,5.0,Vlogger Go Viral - Tuber Game,4.8,1304467
519,Geometry Dash Meltdown,Geometry Dash Meltdown,117470,4.5,Geometry Dash Meltdown,4.6,1591129
520,Disney Crossy Road,Disney Crossy Road,38571,4.5,Disney Crossy Road,4.5,514088
521,Hungry Shark World,Hungry Shark World,24057,4.5,Hungry Shark World,4.5,1243017
522,Candy Crush Jelly Saga,Candy Crush Jelly Saga,32395,4.0,Candy Crush Jelly Saga,4.3,1300619
523,Univision NOW,Univision NOW – Stream TV en Vivo y On Demand,329,2.0,Univision NOW - Live TV and On Demand,4.0,22997
524,RISK,RISK: Global Domination,5217,4.0,RISK: Global Domination,4.0,68559
525,Clash Royale,Clash Royale,266921,4.5,Clash Royale,4.6,23125280
526,Philips Hue,Philips Hue,1999,1.5,Philips Hue,3.1,10006
527,NBA LIVE Mobile Basketball,NBA LIVE Mobile Basketball,40619,4.0,NBA LIVE Mobile Basketball,4.4,1690802
528,Firefox Focus,Firefox Focus: The privacy browser,477,4.0,Firefox Focus: The privacy browser,4.4,36981
529,MadLipz,MadLipz - Make a Voice Over Parody!,153,4.5,MadLipz,4.6,171017
530,Dunkin' Donuts,"Dunkin' Donuts - Get Offers, Coupons & Rewards",9068,4.0,Dunkin' Donuts,4.2,68270
531,Tomb of the Mask,Tomb of the Mask,8054,4.5,Tomb of the Mask,4.1,55380
532,Driving Zone,Driving Zone,298,4.0,Driving Zone,4.2,51791
533,Fiesta by Tango,Fiesta by Tango - Chat & Meet New People,885,4.5,"Fiesta by Tango - Find, Meet and Make New Friends",4.3,112223
534,MARVEL Avengers Academy,MARVEL Avengers Academy,17376,4.0,MARVEL Avengers Academy,4.2,304106
535,Meditation Studio,Meditation Studio – Guided Meditations and Courses,2491,5.0,Meditation Studio,4.6,1026
536,Fernanfloo,Fernanfloo,2886,4.5,Fernanfloo,4.8,526595
537,Choices,Choices: Stories You Play,33698,4.5,Choices: Stories You Play,4.6,807155
538,Lords Mobile,Lords Mobile,10263,4.5,Lords Mobile: Battle of the Empires - Strategy RPG,4.4,3057481
539,Nasty Goats,Nasty Goats – a Game Shakers App,468,4.0,Nasty Goats,4.3,45579
540,FINAL FANTASY BRAVE EXVIUS,FINAL FANTASY BRAVE EXVIUS,28187,4.5,FINAL FANTASY BRAVE EXVIUS,4.6,745684
541,Soundtrack Attack,Soundtrack Attack - Steven Universe Rhythm Runner,1872,4.0,Soundtrack Attack,4.3,96045
542,Google Trips,Google Trips – Travel planner,329,3.0,Google Trips - Travel Planner,4.1,26871
543,Card Wars Kingdom,Card Wars Kingdom - Adventure Time,4283,3.5,Card Wars Kingdom,4.3,920571
544,King of Avalon,King of Avalon: Dragon Warfare,3326,4.0,King of Avalon: Dragon Warfare,4.2,306652
545,Super Slime Blitz,Super Slime Blitz – Gumball Endless Arcade Climber,668,4.5,Super Slime Blitz - Gumball,4.6,5395
546,Talking Tom Gold Run,Talking Tom Gold Run: Fun & Endless Running Game,18733,4.5,Talking Tom Gold Run,4.6,2694969
547,slither.io,slither.io,107817,3.5,slither.io,4.4,5231553
548,PewDiePie's Tuber Simulator,PewDiePie's Tuber Simulator,90851,5.0,PewDiePie's Tuber Simulator,4.8,1499466
549,BOO!,BOO! - Video chat camera with filters & stickers,1805,4.0,BOO! - Next Generation Messenger,3.5,20675
550,Pokémon GO,Pokémon GO,257627,3.0,Pokémon GO,4.1,10421284
551,Google Duo,Google Duo - simple video calling,1033,4.0,Google Duo - High Quality Video Calls,4.6,2083237
552,MagiMobile,MagiMobile – Mighty Magiswords Collection App,553,3.5,MagiMobile – Mighty Magiswords,4.2,120035
553,Dots & Co,Dots & Co: A New Puzzle Adventure,10693,4.5,Dots & Co: A Puzzle Adventure,4.5,81001
554,PAC-MAN Pop,PAC-MAN Pop,1000,4.5,PAC-MAN Pop,4.3,24877
555,Gardenscapes,Gardenscapes - New Acres,45227,4.0,Gardenscapes,4.6,4129665
556,T-Mobile Tuesdays,T-Mobile Tuesdays,3213,2.5,T-Mobile Tuesdays,4.0,53144
557,Geometry Dash World,Geometry Dash World,5114,4.5,Geometry Dash World,4.6,759838
558,RollerCoaster Tycoon® Classic,RollerCoaster Tycoon® Classic,1794,4.0,RollerCoaster Tycoon® Classic,4.6,10795
559,diep.io,diep.io,9397,4.0,diep.io,4.1,347883
560,The Game of Life,The Game of Life,2298,4.5,The Game of Life,4.4,18652
561,Endless Ducker,Endless Ducker,639,4.0,Endless Ducker,4.5,8193
562,Bowmasters,Bowmasters - Top Multiplayer Bowman Archery Game,159323,4.5,Bowmasters,4.7,1535581
563,Angry Birds Blast,Angry Birds Blast,24878,4.5,Angry Birds Blast,4.6,253115
564,Thomas & Friends,Thomas & Friends: Magical Tracks - Kids Train Set,389,4.0,Thomas & Friends: Go Go Thomas,4.1,175625
565,Thomas & Friends,Thomas & Friends: Magical Tracks - Kids Train Set,389,4.0,Thomas & Friends: Race On!,4.1,29319
566,Thomas & Friends,Thomas & Friends: Magical Tracks - Kids Train Set,389,4.0,Thomas & Friends: Delivery,4.2,28737
567,Uber Driver,Uber Driver,3289,3.0,Uber Driver,4.4,1254730
568,Premier League,Premier League - Official App,791,3.5,Premier League - Official App,4.3,63782
569,Whataburger,Whataburger,197,3.0,Whataburger,4.5,5093
570,Hot Wheels,Hot Wheels: Race Off,3141,4.5,Hot Wheels: Race Off,4.5,520654
571,Narcos,Narcos: Cartel Wars,4490,4.5,Narcos: Cartel Wars,4.7,244797
572,Super Mario Run,Super Mario Run,87958,2.5,Super Mario Run,3.7,1221896
573,My Teacher,My Teacher - School Classroom Play & Learn,234,4.0,My Teacher - Classroom Play,4.0,155276
574,Hill Climb Racing 2,Hill Climb Racing 2,33854,4.5,Hill Climb Racing 2,4.6,2750645
575,European War 5,European War 5: Empire,104,4.0,European War 5:Empire,3.8,9513
576,Pineapple Pen,Pineapple Pen,6430,4.5,Pineapple Pen,4.3,157264
577,Mobile Legends,Mobile Legends: Bang bang,11602,4.5,Mobile Legends: Bang Bang,4.4,8219586
578,Super Jabber Jump,Super Jabber Jump,612,4.5,Super Jabber Jump,4.3,85882
